geo_level_1_id,n_samples,ARI,NMI,Accuracy
6,16975,0.1583506077283084,0.1468148028618886,0.6739322533136967
26,15792,0.10226758718109333,0.0835532328539388,0.6161980749746707
10,15437,0.08853639255502692,0.10472552683643073,0.608602707780009
17,15307,0.1684121851665507,0.08718556093590958,0.7139870647416214
7,13391,0.12679631093536148,0.11474574020384926,0.6491673512060339
8,13258,0.05563434466005456,0.09303297545317862,0.5712022929551969
20,12178,0.10484692016939783,0.060031589278615814,0.6498604040072261
21,10391,0.06645072619798013,0.05501159708390347,0.5963814839765181
4,10155,0.101786657807573,0.040718513996545275,0.7234859675036928
27,8848,0.059460972597651436,0.08012996743380144,0.5736889692585895
13,6688,0.07188017235186711,0.031993910076649784,0.5943480861244019
11,5700,0.09018642514877107,0.10673704005989913,0.6133333333333333
3,5333,0.09438874381229205,0.09980016510729108,0.6328520532533284
22,4395,0.07915029205781592,0.03548160331168555,0.6364050056882822
25,3933,0.1104130217270616,0.05007133113799704,0.7177726926010679
16,3023,0.021682705458024767,0.01325756153112595,0.6089976844194509
0,2825,0.05641996559091067,0.018349910428528522,0.7327433628318584
9,2696,0.08752317262871107,0.06778690681187506,0.6350148367952523
18,2273,0.11092297869100357,0.07893548691663661,0.6317641882974043
12,2187,-0.003706708888368679,0.0031398120316303156,0.6264288980338363
1,1918,0.09726260950819422,0.058249361513288106,0.7095933263816475
30,1879,0.08607479563122628,0.032421974014845714,0.7434805747738159
5,1868,0.045000805354293384,0.025920957431692294,0.6862955032119914
15,1635,0.0568769991743731,0.010833720806204209,0.6232415902140673
14,1214,0.02545780289349582,0.00489441581311983,0.5766062602965404
24,945,0.032335841602007614,0.012869658742471504,0.6243386243386243
23,775,0.00485598382127723,0.017979023870792924,0.6090322580645161
2,668,0.04568846229609446,0.03534173989130104,0.625748502994012
19,272,0.05442392272724993,0.02539833871089253,0.5772058823529411
29,262,-0.05007769997131654,0.02835611501852823,0.8053435114503816
28,200,0.05012212562864871,0.030636989424270275,0.62
